id,name,party,sector,country
SPD,,,,
Gruene,,,,
DieLinke,,,,
FDP,,,,
CDU,,,,
ul,Ursula von der Leyen,CDU,Politik,Deutschland
lk,Lars Klingbeil,SPD,Politik,Deutschland
nr,Norbert Rötgen,CDU,Politik,Deutschland
sw,Sarah Wagenknecht,DieLinke,Politik,Deutschland
cs,Constanze Stelzenmüller,n.a.,Journalismus,USA
cl,Christian Lindner,FDP,Politik,Deutschland
ks,Karl Schloegel,n.a.,Experten,Deutschland
lm,Ljudmyla Melnyk,n.a.,Experten,Ukraine
kd,Kristina Dunz,n.a.,Journalismus,Deutschland
el,Eglis Levits,n.a.,Politik,Lettland
ab,Annalena Baerbock,Gruene,Politik,Deutschland
ft,Franz Timmermans,n.a.,Politik,Niederlande
am,Andrij Melnyk,"n.a,",Politik,Ukraine
al,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
er,Egon Ramms,n.a.,Militaer,Deutschland
rh,Robert Habeck,Gruene,Politik,Deutschland
cm,Claudia Major,n.a.,Experten,Deutschland
kp,Katja Petrowskaja,n.a.,Experten,Deutschland
rk,Roderich Kiesewetter,CDU,Politik,Deutschland
500,,,,
501,,,,
502,,,,
503,,,,
